challenger_col,method,is_primary_sparql,model,domain,n_queries_total,recall_win_count,recall_win_rate,ch_recall_mean_on_rw,nlq_recall_mean_on_rw,delta_recall_on_rw,n_rw_with_cr,ch_cr_mean_on_rw,nlq_cr_mean_on_rw,delta_cr_on_rw,co_directional,cd_arrow
sparql_response,SPARQL,True,codellama,codellama,240,78,32.5,0.8484,0.8335,0.0148,78,0.0139,0.0,0.0139,True,↑
sparql_response,SPARQL,True,gemma,gemma,240,63,26.25,0.8379,0.8298,0.0081,62,0.0,0.0,0.0,False,↓
sparql_response,SPARQL,True,llama3,llama3,240,130,54.17,0.8488,0.8331,0.0157,130,0.0243,0.0135,0.0108,True,↑
sparql_response,SPARQL,True,mistral,mistral,240,119,49.58,0.8773,0.8641,0.0133,119,0.0325,0.0218,0.0107,True,↑
sparql_response,SPARQL,True,qwen,qwen,240,121,50.42,0.8642,0.8496,0.0146,119,0.0087,0.0,0.0087,True,↑
sparql_response,SPARQL,True,qwen-coder,qwen-coder,240,95,39.58,0.8595,0.8469,0.0126,95,0.0181,0.0079,0.0102,True,↑
nlq_cot_response,NLQ_CoT,False,codellama,codellama,240,124,51.67,0.8502,0.8358,0.0144,124,0.0043,0.002,0.0023,True,↑
nlq_cot_response,NLQ_CoT,False,gemma,gemma,240,111,46.25,0.843,0.833,0.01,111,0.0135,0.0135,0.0,False,↓
nlq_cot_response,NLQ_CoT,False,llama3,llama3,240,47,19.58,0.86,0.8476,0.0124,47,0.0019,0.0213,-0.0193,False,↓
nlq_cot_response,NLQ_CoT,False,mistral,mistral,240,79,32.92,0.8777,0.865,0.0127,79,0.0327,0.0293,0.0034,True,↑
nlq_cot_response,NLQ_CoT,False,qwen,qwen,240,18,7.5,0.8692,0.8574,0.0118,16,0.0078,0.0,0.0078,True,↑
nlq_cot_response,NLQ_CoT,False,qwen-coder,qwen-coder,240,40,16.67,0.8615,0.8484,0.0131,40,0.0063,0.0067,-0.0004,False,↓
sparql_cot_response,SPARQL_CoT,False,codellama,codellama,240,43,17.92,0.8623,0.8519,0.0105,42,0.0109,0.0,0.0109,True,↑
sparql_cot_response,SPARQL_CoT,False,gemma,gemma,240,73,30.42,0.8378,0.829,0.0088,71,0.0,0.0,0.0,False,↓
sparql_cot_response,SPARQL_CoT,False,llama3,llama3,240,54,22.5,0.8509,0.8374,0.0136,54,0.0093,0.0212,-0.0119,False,↓
sparql_cot_response,SPARQL_CoT,False,mistral,mistral,240,86,35.83,0.8831,0.8691,0.014,86,0.0271,0.0359,-0.0087,False,↓
sparql_cot_response,SPARQL_CoT,False,qwen,qwen,240,32,13.33,0.8718,0.861,0.0108,31,0.0215,0.0,0.0215,True,↑
sparql_cot_response,SPARQL_CoT,False,qwen-coder,qwen-coder,240,31,12.92,0.8609,0.8477,0.0132,30,0.0111,0.0,0.0111,True,↑
