challenger_col,method,is_primary_sparql,model,domain,n_queries_total,recall_win_count,recall_win_rate,ch_recall_mean_on_rw,nlq_recall_mean_on_rw,delta_recall_on_rw,n_rw_with_cr,ch_cr_mean_on_rw,nlq_cr_mean_on_rw,delta_cr_on_rw,co_directional,cd_arrow
sparql_response,SPARQL,True,codellama,codellama,2124,862,40.58,0.8617,0.8376,0.0242,862,0.0453,0.0238,0.0215,True,↑
sparql_response,SPARQL,True,gemma,gemma,2124,445,20.95,0.8207,0.8107,0.01,444,0.0857,0.0406,0.045,True,↑
sparql_response,SPARQL,True,llama3,llama3,2124,1356,63.84,0.8477,0.8241,0.0236,1355,0.0162,0.0062,0.01,True,↑
sparql_response,SPARQL,True,mistral,mistral,2124,875,41.2,0.8855,0.8729,0.0126,875,0.053,0.0403,0.0127,True,↑
sparql_response,SPARQL,True,qwen,qwen,2124,1176,55.37,0.8732,0.8459,0.0273,1157,0.056,0.0267,0.0294,True,↑
sparql_response,SPARQL,True,qwen-coder,qwen-coder,2124,940,44.26,0.8678,0.841,0.0268,936,0.0409,0.0239,0.017,True,↑
nlq_cot_response,NLQ_CoT,False,codellama,codellama,2124,894,42.09,0.8557,0.8357,0.02,894,0.0345,0.0266,0.0078,True,↑
nlq_cot_response,NLQ_CoT,False,gemma,gemma,2124,998,46.99,0.8274,0.817,0.0103,998,0.0483,0.0362,0.0121,True,↑
nlq_cot_response,NLQ_CoT,False,llama3,llama3,2124,532,25.05,0.8297,0.8147,0.015,531,0.0126,0.0048,0.0078,True,↑
nlq_cot_response,NLQ_CoT,False,mistral,mistral,2124,484,22.79,0.8871,0.8762,0.0108,484,0.075,0.0389,0.0362,True,↑
nlq_cot_response,NLQ_CoT,False,qwen,qwen,2124,235,11.06,0.836,0.811,0.025,218,0.0283,0.0398,-0.0115,False,↓
nlq_cot_response,NLQ_CoT,False,qwen-coder,qwen-coder,2124,443,20.86,0.8497,0.829,0.0207,441,0.0237,0.0178,0.0059,True,↑
sparql_cot_response,SPARQL_CoT,False,codellama,codellama,2124,793,37.34,0.8573,0.8337,0.0236,793,0.0488,0.025,0.0239,True,↑
sparql_cot_response,SPARQL_CoT,False,gemma,gemma,2124,499,23.49,0.8227,0.8126,0.0101,499,0.093,0.048,0.045,True,↑
sparql_cot_response,SPARQL_CoT,False,llama3,llama3,2124,639,30.08,0.8363,0.8185,0.0178,638,0.0419,0.0058,0.0361,True,↑
sparql_cot_response,SPARQL_CoT,False,mistral,mistral,2124,601,28.3,0.8905,0.8777,0.0128,601,0.0662,0.0368,0.0294,True,↑
sparql_cot_response,SPARQL_CoT,False,qwen,qwen,2124,365,17.18,0.8502,0.8245,0.0257,348,0.0373,0.0261,0.0112,True,↑
sparql_cot_response,SPARQL_CoT,False,qwen-coder,qwen-coder,2124,417,19.63,0.8498,0.8295,0.0203,413,0.0428,0.0192,0.0236,True,↑
