challenger_col,method,is_primary_sparql,model,domain,n_queries_total,recall_win_count,recall_win_rate,ch_recall_mean_on_rw,nlq_recall_mean_on_rw,delta_recall_on_rw,n_rw_with_cr,ch_cr_mean_on_rw,nlq_cr_mean_on_rw,delta_cr_on_rw,co_directional,cd_arrow
sparql_nlq_response,SPARQL,True,codellama,codellama,1542,330,21.4,0.8229,0.8171,0.0058,330,0.0073,0.0071,0.0002,True,↑
sparql_nlq_response,SPARQL,True,gemma,gemma,1542,445,28.86,0.8143,0.8078,0.0065,445,0.017,0.0075,0.0096,True,↑
sparql_nlq_response,SPARQL,True,llama3,llama3,1542,543,35.21,0.8318,0.8236,0.0081,543,0.0071,0.0039,0.0032,True,↑
sparql_nlq_response,SPARQL,True,mistral,mistral,1542,562,36.45,0.8329,0.8266,0.0063,562,0.0117,0.012,-0.0003,False,↓
sparql_nlq_response,SPARQL,True,qwen,qwen,1542,347,22.5,0.8264,0.8195,0.0069,345,0.0071,0.004,0.0032,True,↑
sparql_nlq_response,SPARQL,True,qwen-coder,qwen-coder,1542,423,27.43,0.83,0.823,0.007,420,0.0163,0.006,0.0103,True,↑
nlq_cot_response,NLQ_CoT,False,codellama,codellama,1542,611,39.62,0.8278,0.8208,0.007,611,0.013,0.0055,0.0076,True,↑
nlq_cot_response,NLQ_CoT,False,gemma,gemma,1542,683,44.29,0.823,0.816,0.007,683,0.0115,0.0077,0.0038,True,↑
nlq_cot_response,NLQ_CoT,False,llama3,llama3,1542,345,22.37,0.8314,0.824,0.0074,345,0.0078,0.0035,0.0043,True,↑
nlq_cot_response,NLQ_CoT,False,mistral,mistral,1542,565,36.64,0.8355,0.829,0.0065,565,0.0115,0.0097,0.0018,True,↑
nlq_cot_response,NLQ_CoT,False,qwen,qwen,1542,202,13.1,0.826,0.8191,0.0069,200,0.0052,0.0113,-0.0061,False,↓
nlq_cot_response,NLQ_CoT,False,qwen-coder,qwen-coder,1542,535,34.7,0.8332,0.8254,0.0078,532,0.0107,0.0065,0.0042,True,↑
sparql_cot_response,SPARQL_CoT,False,codellama,codellama,1542,373,24.19,0.8256,0.8191,0.0065,373,0.0158,0.0052,0.0106,True,↑
sparql_cot_response,SPARQL_CoT,False,gemma,gemma,1542,425,27.56,0.8179,0.8114,0.0065,424,0.0075,0.0035,0.0039,True,↑
sparql_cot_response,SPARQL_CoT,False,llama3,llama3,1542,289,18.74,0.8309,0.823,0.0079,289,0.0095,0.0028,0.0067,True,↑
sparql_cot_response,SPARQL_CoT,False,mistral,mistral,1542,494,32.04,0.8336,0.8272,0.0064,494,0.009,0.0092,-0.0001,False,↓
sparql_cot_response,SPARQL_CoT,False,qwen,qwen,1542,105,6.81,0.8226,0.8162,0.0064,103,0.0068,0.0064,0.0004,True,↑
sparql_cot_response,SPARQL_CoT,False,qwen-coder,qwen-coder,1542,416,26.98,0.8298,0.8229,0.0069,413,0.0125,0.0086,0.004,True,↑
