query_form,complexity_score,nary_count,has_negation,has_annotation,op_FILTER,op_FILTER_NOT_EXISTS,op_OPTIONAL,op_UNION,op_GROUP_BY,op_ORDER_BY,op_LIMIT,op_DISTINCT,op_HAVING,op_BIND,op_VALUES,op_SUBQUERY,op_REGEX,op_STRSTARTS,op_COUNT,op_AGG_OTHER,operator_count,operator_diversity,join_count,nesting_depth,compositional_score,entity_count,class_count,relation_count,literal_count,namespace_count,ttr,vocab_tokens,line_count,token_count,char_count,Domain
SELECT,22.5,0,1,1,1,1,7,0,0,1,0,1,0,0,0,1,0,2,0,0,14,7,11,2,32.5,14,19,9,8,5,0.2829,152,50,210,2386,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,1,2,11.5,6,3,2,6,5,0.46,50,22,67,990,TelcoQA
SELECT,21.0,0,0,1,1,0,8,0,0,1,0,1,0,0,0,1,0,2,0,0,14,6,6,2,23.0,10,7,9,9,5,0.359,117,38,154,1868,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,4,5,0.463,54,20,81,1013,TelcoQA
SELECT,22.5,0,0,1,1,0,3,3,0,1,0,1,0,0,0,1,0,2,0,0,12,7,6,2,25.0,9,22,17,4,6,0.2308,130,47,217,2506,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,11.5,17,31,1,3,6,0.2718,103,45,161,1763,TelcoQA
SELECT,31.5,0,0,1,1,0,9,3,0,1,0,1,0,0,0,1,0,2,0,0,18,7,10,2,31.0,13,36,10,9,6,0.2155,181,53,291,3182,TelcoQA
SELECT,12.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,8,6,4,2,20.0,4,2,3,3,5,0.3636,55,22,68,1008,TelcoQA
SELECT,31.5,0,1,1,1,4,7,0,0,1,0,1,0,0,0,1,0,2,0,0,17,7,9,5,32.5,13,13,16,7,5,0.2662,154,52,207,2772,TelcoQA
SELECT,24.0,0,1,1,1,2,4,1,0,1,0,1,0,0,0,1,0,2,0,0,13,8,5,3,26.5,6,11,4,5,5,0.3068,88,33,143,1613,TelcoQA
SELECT,16.5,0,0,1,3,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,9,5,6,2,21.0,7,2,5,6,6,0.4091,66,24,89,1105,TelcoQA
SELECT,12.0,1,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,5,2,17.5,8,3,7,3,6,0.3529,68,26,93,1361,TelcoQA
SELECT,12.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,8,6,3,2,18.5,3,2,0,3,5,0.4043,47,20,62,818,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,3,2,14.5,3,2,2,3,6,0.4634,41,18,56,771,TelcoQA
SELECT,13.5,0,0,1,1,0,3,0,0,1,0,1,0,0,0,1,0,2,0,0,9,6,3,2,18.5,3,3,1,4,5,0.386,57,21,75,989,TelcoQA
SELECT,28.5,0,1,1,1,1,7,2,0,1,0,1,0,0,0,1,0,2,0,0,16,8,8,3,31.0,11,25,8,8,6,0.2517,143,46,234,2608,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,5,2,3,3,5,0.4681,47,18,68,846,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,4,6,0.4727,55,21,84,1061,TelcoQA
