Metric,Domain,N,Mean,Median,Std,Min,Max,P25,P75
complexity_score,TelcoQA,1542,14.129,13.5,7.183,1.5,60.0,12.0,17.0
complexity_score,FiQA,240,9.648,8.5,4.949,4.5,38.5,8.5,11.5
complexity_score,LegalQA,2124,8.565,8.5,2.091,3.0,34.0,7.0,10.0
nary_count,TelcoQA,1542,0.06,0.0,0.269,0.0,2.0,0.0,0.0
nary_count,FiQA,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nary_count,LegalQA,2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compositional_score,TelcoQA,1542,19.957,19.5,6.909,4.0,57.5,16.0,24.0
compositional_score,FiQA,240,12.658,12.0,2.825,10.0,26.0,12.0,12.0
compositional_score,LegalQA,2124,11.45,12.0,1.273,8.5,21.5,10.5,12.0
operator_count,TelcoQA,1542,8.176,8.0,4.029,1.0,31.0,7.0,10.75
operator_count,FiQA,240,4.717,4.0,1.869,3.0,14.0,4.0,5.0
operator_count,LegalQA,2124,3.942,4.0,1.025,2.0,12.0,3.0,5.0
operator_diversity,TelcoQA,1542,4.917,5.0,1.803,1.0,8.0,4.0,6.0
operator_diversity,FiQA,240,1.983,2.0,0.696,1.0,4.0,2.0,2.0
operator_diversity,LegalQA,2124,2.057,2.0,0.246,1.0,4.0,2.0,2.0
join_count,TelcoQA,1542,5.269,5.0,2.713,0.0,25.0,4.0,6.0
join_count,FiQA,240,4.442,4.0,1.222,4.0,12.0,4.0,4.0
join_count,LegalQA,2124,3.552,4.0,0.699,2.0,8.0,3.0,4.0
nesting_depth,TelcoQA,1542,2.219,2.0,0.575,2.0,8.0,2.0,2.0
nesting_depth,FiQA,240,2.029,2.0,0.169,2.0,3.0,2.0,2.0
nesting_depth,LegalQA,2124,2.007,2.0,0.084,2.0,3.0,2.0,2.0
entity_count,TelcoQA,1542,7.436,6.0,4.021,1.0,32.0,5.0,9.0
entity_count,FiQA,240,4.321,4.0,1.941,3.0,17.0,3.0,4.0
entity_count,LegalQA,2124,3.713,4.0,1.212,2.0,12.0,3.0,4.0
class_count,TelcoQA,1542,7.984,3.0,11.687,1.0,118.0,2.0,9.0
class_count,FiQA,240,2.971,1.0,5.188,1.0,40.0,1.0,2.0
class_count,LegalQA,2124,1.227,1.0,1.172,1.0,18.0,1.0,1.0
relation_count,TelcoQA,1542,5.654,4.0,5.23,0.0,42.0,3.0,7.0
relation_count,FiQA,240,3.396,3.0,1.389,3.0,16.0,3.0,3.0
relation_count,LegalQA,2124,2.857,3.0,0.92,1.0,11.0,2.0,4.0
literal_count,TelcoQA,1542,4.639,4.0,1.835,3.0,14.0,3.0,6.0
literal_count,FiQA,240,11.679,11.0,1.534,11.0,21.0,11.0,12.0
literal_count,LegalQA,2124,13.268,13.0,0.935,12.0,24.0,13.0,13.0
namespace_count,TelcoQA,1542,5.391,5.0,0.488,5.0,6.0,5.0,6.0
namespace_count,FiQA,240,7.0,7.0,0.0,7.0,7.0,7.0,7.0
namespace_count,LegalQA,2124,7.931,8.0,0.253,7.0,8.0,8.0,8.0
ttr,TelcoQA,1542,0.387,0.402,0.084,0.123,0.606,0.33,0.46
ttr,FiQA,240,0.528,0.532,0.09,0.266,0.733,0.458,0.597
ttr,LegalQA,2124,0.521,0.515,0.046,0.327,0.68,0.491,0.553
vocab_tokens,TelcoQA,1542,76.885,62.0,44.579,27.0,420.0,47.0,89.0
vocab_tokens,FiQA,240,51.058,47.0,24.068,15.0,177.0,33.0,62.0
vocab_tokens,LegalQA,2124,48.636,47.0,10.461,23.0,101.0,41.0,55.0
line_count,TelcoQA,1542,28.634,24.0,12.695,14.0,113.0,20.0,34.0
line_count,FiQA,240,28.546,27.0,2.961,27.0,44.0,27.0,29.0
line_count,LegalQA,2124,30.056,30.0,1.382,27.0,45.0,29.0,31.0
token_count,TelcoQA,1542,112.315,88.0,71.18,36.0,739.0,71.0,128.0
token_count,FiQA,240,193.629,174.0,72.659,108.0,618.0,143.0,221.0
token_count,LegalQA,2124,185.652,182.0,26.887,115.0,387.0,168.0,200.0
char_count,TelcoQA,1542,1392.895,1113.5,757.938,560.0,7324.0,893.0,1624.75
char_count,FiQA,240,2186.592,2081.5,499.086,1543.0,5178.0,1870.0,2346.0
char_count,LegalQA,2124,2237.98,2218.0,185.589,1789.0,3491.0,2110.0,2343.0
has_negation,TelcoQA,1542,0.299,0.0,0.458,0.0,1.0,0.0,1.0
has_negation,FiQA,240,0.046,0.0,0.21,0.0,1.0,0.0,0.0
has_negation,LegalQA,2124,0.013,0.0,0.114,0.0,1.0,0.0,0.0
has_annotation,TelcoQA,1542,1.0,1.0,0.0,1.0,1.0,1.0,1.0
has_annotation,FiQA,240,1.0,1.0,0.0,1.0,1.0,1.0,1.0
has_annotation,LegalQA,2124,1.0,1.0,0.0,1.0,1.0,1.0,1.0
op_FILTER,TelcoQA,1542,0.765,1.0,1.299,0.0,24.0,0.0,1.0
op_FILTER,FiQA,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_FILTER,LegalQA,2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_OPTIONAL,TelcoQA,1542,3.374,4.0,1.831,1.0,13.0,2.0,4.0
op_OPTIONAL,FiQA,240,3.329,3.0,0.74,3.0,7.0,3.0,3.0
op_OPTIONAL,LegalQA,2124,2.829,3.0,0.865,1.0,6.0,2.0,4.0
op_UNION,TelcoQA,1542,0.228,0.0,0.833,0.0,9.0,0.0,0.0
op_UNION,FiQA,240,0.475,0.0,1.244,0.0,7.0,0.0,0.0
op_UNION,LegalQA,2124,0.092,0.0,0.539,0.0,9.0,0.0,0.0
op_FILTER_NOT_EXISTS,TelcoQA,1542,0.407,0.0,0.764,0.0,9.0,0.0,1.0
op_FILTER_NOT_EXISTS,FiQA,240,0.062,0.0,0.343,0.0,4.0,0.0,0.0
op_FILTER_NOT_EXISTS,LegalQA,2124,0.013,0.0,0.114,0.0,1.0,0.0,0.0
op_ORDER_BY,TelcoQA,1542,0.874,1.0,0.332,0.0,1.0,1.0,1.0
op_ORDER_BY,FiQA,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_ORDER_BY,LegalQA,2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_DISTINCT,TelcoQA,1542,0.874,1.0,0.332,0.0,1.0,1.0,1.0
op_DISTINCT,FiQA,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_DISTINCT,LegalQA,2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_GROUP_BY,TelcoQA,1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_GROUP_BY,FiQA,240,0.012,0.0,0.194,0.0,3.0,0.0,0.0
op_GROUP_BY,LegalQA,2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_COUNT,TelcoQA,1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_COUNT,FiQA,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_COUNT,LegalQA,2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_LIMIT,TelcoQA,1542,0.001,0.0,0.025,0.0,1.0,0.0,0.0
op_LIMIT,FiQA,240,0.067,0.0,0.462,0.0,4.0,0.0,0.0
op_LIMIT,LegalQA,2124,0.006,0.0,0.13,0.0,3.0,0.0,0.0
